,#,ra,dec
0,62.209156,13.00517,
1,343.635096,9.585985,
2,11.911319,-19.971233,
3,86.238237,-19.878963,
4,66.220232,0.678073,
5,332.956037,-2.430103,
6,41.721549,-2.91487,
7,38.175342,8.216504,
8,340.494416,-18.750591,
9,64.049428,-21.975132,
10,84.509522,20.882558,
11,58.076701,-13.611143,
12,83.651143,29.659001,
13,50.232041,-19.394163,
14,50.038626,-49.488355,
15,86.712401,2.69885,
16,55.2444,3.777558,
17,337.450697,-72.233969,
18,82.610777,-17.698768,
19,334.279619,-54.810927,
20,60.962013,-35.367924,
21,52.457928,29.848972,
22,9.786072,3.266502,
23,52.33215,-79.404684,
24,59.025884,-38.846613,
25,62.820558,27.066234,
26,27.137432,-22.638807,
27,358.651961,-54.3396,
28,342.587365,22.523527,
29,350.183099,22.135208,
30,45.525616,-56.683902,
31,87.252479,21.384145,
32,15.444488,-7.145523,
33,321.264265,-85.881219,
34,60.43504,-61.089905,
35,347.042524,-44.636282,
36,311.397292,-2.709479,
37,353.636234,-24.381731,
38,43.60548,2.990638,
39,348.286408,2.973768,
40,333.075315,-46.509333,
41,17.269142,2.474544,
42,89.755875,14.243589,
43,40.462142,-28.575949,
44,9.093527,-81.270366,
45,330.690297,7.733937,
46,29.478968,-55.252246,
47,317.041275,-53.406573,
48,11.678533,16.238608,
49,36.331197,-34.173642,
50,82.132567,-27.782238,
51,25.584165,-63.939199,
52,314.181122,8.118889,
53,69.513728,6.978555,
54,10.408961,-46.801615,
55,347.97033,-58.395127,
56,13.996718,-53.201908,
57,345.876577,29.211778,
58,326.830462,15.440432,
59,72.225741,-63.331561,
60,38.917993,-16.462169,
61,87.461921,-3.346115,
62,339.696107,28.352563,
63,355.336204,-45.442101,
64,5.155036,-29.271261,
65,357.798553,-57.658085,
66,335.547353,13.863071,
67,327.585908,10.552431,
68,342.30953,19.850592,
69,318.074301,24.804127,
70,66.90344,23.991146,
71,49.321018,-62.487209,
72,68.341358,12.524535,
73,353.530752,19.163876,
74,58.563273,-6.421862,
75,39.224928,25.748818,
76,17.204921,15.46917,
77,42.83055,-30.28669,
78,3.489546,19.698842,
79,327.390429,18.185769,
80,1.281923,-5.050938,
81,351.889736,8.135171,
82,18.261636,-35.229714,
83,30.299157,-0.021865,
84,328.16273,4.674106,
85,342.131891,-64.247635,
86,314.778864,-3.259163,
87,78.415287,5.962983,
88,332.781897,-34.029788,
89,73.528686,19.790899,
90,80.446404,-20.875153,
91,65.859895,-26.166987,
92,334.68978,-38.459382,
93,35.08592,6.482854,
94,80.147652,-52.477689,
95,74.155946,-3.449845,
96,16.706194,-41.635079,
97,349.756127,-11.595243,
98,338.388396,18.097305,
99,48.470356,-52.695648,
100,58.055752,-80.138956,
101,32.143532,-25.932798,
102,347.479589,-30.181611,
103,5.092971,9.679936,
104,28.404041,18.964142,
105,339.846741,-19.948827,
106,323.961953,27.021683,
107,29.118813,-24.364244,
108,58.346866,-29.045832,
109,41.717142,3.927519,
110,351.078171,-9.795373,
111,353.952855,-16.674764,
112,3.862644,-26.48355,
113,336.617483,15.98323,
114,71.19258,-59.557429,
115,78.597326,-25.035968,
116,3.588342,-34.279578,
117,28.550399,-72.909148,
118,25.326938,5.36923,
119,323.174865,28.01074,
120,350.205117,-52.817565,
121,79.512112,-2.737478,
122,332.500667,14.249985,
123,347.099858,-34.305224,
124,326.602908,-27.782946,
125,348.267893,-21.151023,
126,322.067808,-37.335275,
127,70.439794,25.177438,
128,324.764411,-14.207713,
129,315.778737,18.200968,
130,15.435872,-13.102724,
131,41.101411,-3.665274,
132,87.852015,-8.340474,
133,325.971702,-1.548426,
134,13.190729,4.907868,
135,310.880651,-6.130326,
136,312.652741,-26.170513,
137,28.528993,-72.562698,
138,316.801544,-19.394584,
139,55.113024,-55.950964,
140,25.933963,-16.73381,
141,84.303254,-40.581178,
142,310.547805,1.396937,
143,66.955015,-28.001469,
144,14.186294,-49.742838,
145,37.809556,-69.217491,
146,343.257621,-16.553159,
147,54.674643,-76.629891,
148,357.628984,-21.12252,
149,58.950516,-20.787619,
150,54.165551,-18.615209,
151,29.481737,-68.965051,
152,326.23623,16.490617,
153,342.098336,-38.999813,
154,2.443299,-36.001795,
155,61.794165,17.164778,
156,337.084909,3.096505,
157,88.067688,4.572803,
158,327.038632,16.525934,
159,316.600434,-41.409481,
160,71.257925,-12.77682,
161,11.855289,-25.825256,
162,67.383869,26.519332,
163,329.571899,20.518809,
164,73.318247,-12.754719,
165,60.608507,-13.032228,
166,320.579652,25.271296,
167,26.394297,-17.680523,
168,337.964124,26.139949,
169,339.926259,-79.932178,
170,318.230129,-0.788237,
171,334.85666,-48.562571,
172,357.623446,20.473531,
173,338.929149,-18.773592,
174,22.014961,-20.039716,
175,349.360938,16.023082,
176,325.289986,15.40968,
177,36.961143,17.365955,
178,31.244287,-32.52133,
179,342.961109,26.316934,
180,34.195558,-13.030024,
181,340.903057,27.411369,
182,314.218488,21.708469,
183,319.735733,21.701212,
184,1.9194,-28.40758,
185,81.70841,-71.55245,
186,349.09217,-27.201273,
187,329.879777,-57.289737,
188,62.623973,-29.872931,
189,50.487626,-34.756581,
190,30.65135,0.631507,
191,80.354823,-0.899791,
192,86.546314,7.249753,
193,43.168649,-25.785178,
194,67.746071,-43.082116,
195,352.615918,-18.688394,
196,322.015297,4.350557,
197,349.021728,18.829729,
198,310.713207,-35.311014,
199,89.590283,-28.596928,
200,68.776726,8.151425,
201,345.931996,27.512541,
202,22.230936,-23.250244,
203,46.603606,3.722399,
204,40.166538,-58.306001,
205,48.817398,-21.364029,
206,26.598617,-1.584645,
207,28.263824,-52.520918,
208,327.477144,-35.87642,
209,81.159893,7.799208,
210,354.057372,-55.686788,
211,34.0112,25.484519,
212,29.359767,19.72896,
213,78.434951,-38.652959,
214,314.867578,-15.000178,
215,315.957224,-25.573935,
216,342.765271,-20.084787,
217,328.608027,-4.158423,
218,319.84884,-72.006167,
219,43.251784,-64.998213,
