ref_ra,ref_dec,local_rms
23.65679,-29.178574,7.828283E-4
24.22499,-29.867928,8.105903E-4
23.592289,-28.285093,8.086349E-4
26.439552,-28.39218,8.146459E-4
26.222925,-30.784279,8.2458975E-4
25.534433,-29.0905,8.0787466E-4
23.345633,-31.06909,8.0316135E-4
23.73595,-30.015944,7.536583E-4
23.873444,-30.204367,7.5223664E-4
24.852215,-30.591833,7.9816533E-4
24.370857,-29.843924,7.965054E-4
25.956913,-29.374413,8.309444E-4
24.926249,-29.749273,8.526385E-4
24.369534,-28.280603,7.863637E-4
24.93067,-31.21951,7.829132E-4
24.88505,-28.479557,7.811199E-4
24.771217,-31.305956,7.8338827E-4
24.598276,-28.736021,8.063731E-4
23.46467,-29.501993,8.3816424E-4
24.005875,-30.184355,7.722962E-4
24.523634,-29.377739,7.773307E-4
23.568928,-30.974483,8.1379735E-4
23.9853,-31.345606,7.943965E-4
24.57012,-29.242815,7.842858E-4
24.29937,-31.427666,8.497725E-4
25.709661,-29.50425,8.709546E-4
24.570534,-29.898726,8.1556843E-4
26.699097,-29.802948,7.6205336E-4
25.927237,-30.72365,8.142526E-4
24.555195,-29.278088,7.924895E-4
25.456987,-31.134693,8.1022497E-4
25.47384,-28.75463,7.6876505E-4
24.582628,-29.289478,7.940342E-4
23.588657,-29.501032,8.358627E-4
24.74265,-31.015041,7.9393503E-4
26.617075,-30.874208,8.0662005E-4
24.387781,-30.43195,7.951232E-4
26.571041,-29.489113,7.8722415E-4
25.319805,-29.044521,8.21966E-4
26.620352,-31.524628,8.0209266E-4
26.55278,-28.999807,8.130868E-4
25.596811,-29.239958,8.541426E-4
24.566372,-29.40159,7.7957456E-4
26.321756,-29.643337,7.5159426E-4
23.48425,-30.675745,7.7618717E-4
23.305683,-30.948511,7.843388E-4
23.722153,-28.63468,8.2450977E-4
23.460955,-29.440132,8.325004E-4
26.269175,-30.372095,7.782336E-4
24.96986,-30.825865,7.7632215E-4
24.26209,-30.469473,7.867047E-4
24.822334,-29.929127,8.1188907E-4
25.07571,-29.823048,8.3820825E-4
25.527666,-30.458591,7.9803384E-4
24.57724,-31.560793,8.380423E-4
26.745815,-31.315863,8.0026564E-4
24.030931,-28.70612,8.752383E-4
25.215668,-31.33081,8.3409075E-4
23.930874,-29.63781,7.7065977E-4
25.658726,-30.811947,8.4117014E-4
24.184875,-31.312246,8.272382E-4
23.788567,-30.903748,8.212466E-4
24.587322,-30.340462,8.052627E-4
24.215857,-28.52972,8.5800985E-4
24.730734,-29.975975,7.9280476E-4
24.944078,-28.791939,7.862184E-4
23.502628,-28.454702,7.999659E-4
25.636574,-29.426739,9.0248854E-4
25.47409,-28.508728,7.6243555E-4
24.905336,-31.728014,8.4043015E-4
23.578074,-29.621136,8.190759E-4
23.532322,-30.144365,7.6256436E-4
25.413134,-28.426992,7.465876E-4
24.435678,-31.235008,8.366398E-4
24.12931,-30.246622,7.843784E-4
24.307886,-30.220547,7.802597E-4
24.026537,-30.505663,7.413498E-4
26.369814,-29.6679,7.612847E-4
23.730501,-28.878374,7.9511706E-4
26.001394,-30.591564,8.154806E-4
24.060345,-28.745752,8.6248823E-4
26.24894,-30.579388,7.9145224E-4
26.404768,-29.216782,7.7717693E-4
25.314758,-28.604372,7.561304E-4
24.904062,-30.479864,7.6880073E-4
24.328066,-29.11324,8.072101E-4
25.680014,-31.439928,7.825855E-4
25.880323,-29.955423,7.934202E-4
24.475834,-30.791998,8.0519385E-4
25.152359,-31.478027,8.2294253E-4
24.809502,-29.563578,7.824053E-4
25.764978,-30.883175,8.764328E-4
26.345837,-30.239248,7.768577E-4
26.61119,-29.127394,7.959762E-4
26.341953,-28.259104,8.522961E-4
25.595465,-30.385832,7.946505E-4
23.282265,-29.16878,8.209951E-4
24.363945,-28.83549,8.159371E-4
23.348984,-31.404406,7.827839E-4
26.166815,-30.412148,7.904577E-4
26.072027,-29.42576,8.121131E-4
26.057493,-30.538582,8.107717E-4
26.698944,-28.501545,8.608815E-4
25.610802,-29.214891,8.423057E-4
24.476805,-31.40306,8.3604705E-4
23.498152,-29.023642,8.138911E-4
25.401993,-31.373426,8.217863E-4
26.032438,-30.210297,7.8777806E-4
25.505032,-31.388535,8.0097414E-4
23.912539,-28.313398,8.433545E-4
23.60711,-30.097647,7.6500344E-4
23.919716,-28.796265,8.6330296E-4
23.534845,-31.16032,8.20844E-4
26.130156,-31.641363,8.2407583E-4
25.507967,-30.888208,8.6563313E-4
24.934715,-28.902636,7.970967E-4
24.733566,-29.633804,7.6515926E-4
24.453264,-30.550432,7.9753564E-4
23.978922,-31.03857,8.1072457E-4
24.19705,-29.980993,8.175644E-4
25.649971,-31.620615,7.8752864E-4
25.415981,-30.476526,7.898515E-4
25.905375,-29.267307,8.1313046E-4
25.222242,-31.371063,8.326058E-4
25.298508,-31.372519,8.334455E-4
26.339294,-29.222536,7.8126875E-4
26.600594,-28.935057,8.276788E-4
24.506683,-30.123577,8.0469664E-4
25.074106,-28.674889,7.635176E-4
26.684164,-31.197374,8.198675E-4
26.6546,-30.776346,7.742156E-4
24.293715,-29.578606,7.485615E-4
24.40772,-31.406437,8.468378E-4
26.141397,-30.788382,8.199263E-4
23.763842,-30.001677,7.6003186E-4
25.355545,-29.01055,8.0106664E-4
26.14384,-28.55272,8.015193E-4
26.64717,-28.44822,8.384139E-4
26.052008,-29.790989,7.755973E-4
25.92407,-29.229198,8.0323E-4
25.036865,-28.924675,8.092671E-4
25.672825,-30.78647,8.3747634E-4
25.831503,-30.878952,8.4513274E-4
24.276007,-28.912323,8.441662E-4
23.513016,-31.27728,8.12293E-4
23.255753,-28.475113,8.1876083E-4
26.01161,-30.725368,8.143592E-4
25.071945,-29.938412,8.161221E-4
24.13946,-29.21226,7.8010606E-4
25.05954,-29.77654,8.399997E-4
24.45116,-29.4917,7.6128886E-4
24.27981,-31.193012,8.3788275E-4
24.453638,-30.742102,8.006433E-4
24.58435,-31.679455,7.9994526E-4
24.36948,-31.175392,8.277239E-4
26.574608,-29.396446,7.983658E-4
23.31397,-30.813766,7.9243956E-4
26.354458,-31.073317,8.57544E-4
25.805223,-31.643824,7.9642475E-4
23.253004,-29.54177,8.1102055E-4
25.778446,-31.03859,8.5441547E-4
23.828474,-29.714695,7.8404933E-4
24.188108,-29.410183,7.399123E-4
24.031063,-29.715986,7.7534834E-4
25.599907,-28.596615,7.700734E-4
24.581491,-30.59071,8.1735075E-4
23.649052,-31.571075,8.387939E-4
24.084381,-29.05568,8.151071E-4
26.445528,-31.520964,8.175645E-4
23.271687,-28.70843,8.13716E-4
24.896713,-31.449373,8.1245886E-4
25.53509,-29.406288,9.1332605E-4
26.117857,-30.349392,7.897969E-4
24.367386,-28.464052,7.9358177E-4
25.268885,-31.284334,8.480553E-4
26.168432,-31.637747,8.2388E-4
25.917284,-31.090471,8.394719E-4
24.670202,-30.392067,7.987041E-4
25.953022,-29.161507,7.973522E-4
24.013409,-29.384731,7.642096E-4
26.248817,-31.544868,8.085809E-4
24.952757,-29.895199,8.5139036E-4
25.401403,-31.251394,8.429854E-4
23.348852,-29.772211,7.92647E-4
23.505867,-29.611725,8.085109E-4
23.405758,-28.35177,8.0989837E-4
24.132923,-30.97445,8.042699E-4
26.681482,-29.185946,8.0446416E-4
24.812805,-31.286753,7.771939E-4
24.366724,-29.064983,8.2267146E-4
24.053844,-28.944294,8.3079585E-4
23.982128,-28.444149,8.823227E-4
25.19753,-29.892637,8.2537293E-4
25.162384,-30.285156,7.73056E-4
24.629587,-29.469461,7.7640096E-4
26.648104,-31.243532,8.2811224E-4
24.287958,-28.411812,8.3125033E-4
25.093203,-29.977613,8.0590334E-4
24.483395,-28.351488,7.844698E-4
26.123959,-29.450512,7.989859E-4
26.347033,-28.797724,7.9252693E-4
26.196741,-28.706118,7.768495E-4
23.716877,-31.308327,8.26488E-4
25.6741,-30.056303,8.052199E-4
25.826542,-30.093546,7.9523405E-4
25.816801,-30.049006,8.0388866E-4
26.739428,-28.848776,8.1315095E-4
24.342653,-30.98583,7.9431443E-4
26.588388,-30.799583,7.7345374E-4
24.396744,-28.555399,7.949243E-4
25.158075,-29.408983,8.695011E-4
25.855242,-28.767553,7.674697E-4
25.636185,-29.501686,8.7252597E-4
25.564081,-29.999653,8.027436E-4
23.635738,-28.986515,7.831969E-4
25.470377,-30.91459,8.529545E-4
24.811073,-30.341448,7.851824E-4
23.619835,-29.22941,8.008112E-4
25.951794,-29.043976,7.757453E-4
25.77773,-28.695805,7.700406E-4
26.04394,-30.58573,8.08555E-4
25.41342,-28.593374,7.651677E-4
24.587635,-31.651407,8.0480083E-4
26.164545,-29.81607,7.608237E-4
24.274231,-29.959381,8.072321E-4
23.975601,-29.285301,7.6246524E-4
23.811745,-30.926888,8.180976E-4
24.939892,-29.093159,8.037861E-4
26.003881,-30.768274,8.1021874E-4
25.878555,-31.114523,8.2955096E-4
26.723698,-30.750746,7.810311E-4
26.639593,-30.35229,7.850881E-4
25.519579,-28.657213,7.6419447E-4
24.95916,-31.13034,7.820731E-4
23.526573,-28.858593,8.385087E-4
23.270018,-28.590548,8.266541E-4
25.371552,-29.117407,8.562197E-4
